NAICS Code,Kind Of Business,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020
1,"Retail and food services sales, total",456538,442274,513845,506920,544203,515269,528710,541951,493076,522195,532130,587471,480301,478467,478267,407227,504607,532678,549416,545307,530987,553114,543273,611429
2,Retail sales and food services excl motor vehicle and parts,368649,352651,403490,403550,432418,410619,419527,427360,393464,418339,430888,483860,386934,380639,395880,337693,397245,418450,433183,429379,417929,438435,440053,494937
3,Retail sales and food services excl gasoline stations,420099,406760,471780,462650,496816,470393,482318,496002,450325,477847,490706,546509,440605,441504,444006,380417,472562,496364,510540,506577,493756,514953,508879,574794
4,Retail sales and food services excl motor vehicle and parts and gasoline stations,332210,317137,361425,359280,385031,365743,373135,381411,350713,373991,389464,442898,347238,343676,361619,310883,365200,382136,394307,390649,380698,400274,405659,458302
5,"Retail sales, total",399461,384967,447155,442921,475897,448595,462097,473482,429556,456436,469003,521467,418734,415511,430527,377210,462286,481205,494905,488949,476247,495722,492362,559932
6,"Retail sales, total (excl. motor vehicle and parts dealers)",311572,295344,336800,339551,364112,343945,352914,358891,329944,352580,367761,417856,325367,317683,348140,307676,354924,366977,378672,373021,363189,381043,389142,443440
7,GAFO(1),91540,90967,106564,102978,110415,105867,107090,114131,100240,106921,121457,147773,94549,97552,95501,68637,91042,102574,106664,109556,104834,111528,117962,144871
441,Motor vehicle and parts dealers,87889,89623,110355,103370,111785,104650,109183,114591,99612,103856,101242,103611,93367,97828,82387,69534,107362,114228,116233,115928,113058,114679,103220,116492
"4411,4412",Automobile and other motor vehicle dealers,80625,82469,101927,95090,103213,96499,100703,105884,91758,95219,93303,96137,85832,90586,74904,62554,98852,104941,107082,106956,104451,105948,95304,108612
4411,Automobile dealers,76147,77461,94814,87537,94742,88523,93041,98738,85985,89711,88406,91579,81214,85140,68937,56635,88480,93559,97104,98206,96980,98478,89223,101956
44111,New car dealers,67012,67456,82564,76907,83937,78207,82550,88148,76300,79728,78776,82739,72074,74360,59487,50131,77773,81593,84691,86015,85909,87522,79269,92388
44112,Used car dealers,9135,10005,12250,10630,10805,10316,10491,10590,9685,9983,9630,8840,9140,10780,9450,6504,10707,11966,12413,12191,11071,10956,9954,9568
4413,"Automotive parts, acc., and tire stores",7264,7154,8428,8280,8572,8151,8480,8707,7854,8637,7939,7474,7535,7242,7483,6980,8510,9287,9151,8972,8607,8731,7916,7880
"442,443","Furniture, home furn, electronics, and appliance stores",15980,15191,17210,16068,17408,16742,17358,18135,17239,17368,20279,22075,16569,16139,13975,7017,11301,15601,17180,17856,17530,17979,19483,21613
442,Furniture and home furnishings stores,8818,8629,10018,9579,10296,9759,10188,10616,10116,10272,11037,11189,9490,9452,8159,3977,7349,9993,10625,11017,11071,11114,11187,12129
4421,Furniture stores,4628,4616,5503,5065,5566,5335,5496,5705,5631,5432,5793,5438,5148,5287,4499,2004,4259,5730,5957,5847,6112,6053,5894,6153
4422,Home furnishings stores,4190,4013,4515,4514,4730,4424,4692,4911,4485,4840,5244,5751,4342,4165,3660,1973,3090,4263,4668,5170,4959,0,0,0
44221,Floor covering stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442299,All other home furnishings stores,2246,2088,2353,2300,2480,2200,2454,2577,2305,2506,3083,3746,2422,2211,1525,403,1276,2102,2440,2647,2506,0,0,0
443,Electronics and appliance stores,7162,6562,7192,6489,7112,6983,7170,7519,7123,7096,9242,10886,7079,6687,5816,3040,3952,5608,6555,6839,6459,6865,8296,9484
443141,Household appliance stores,1198,1177,1334,1310,1471,1398,1523,1467,1357,1409,1500,1423,1230,1234,1283,1128,1441,1681,1731,1747,1665,1722,1705,1763
443142,Electronics stores,5964,5385,5858,5179,5641,5585,5647,6052,5766,5687,7742,9463,5849,5453,4533,1912,2511,3927,4824,5092,4794,5143,6591,7721
444,Building mat. and garden equip. and supplies dealers,26620,24039,29916,34033,37235,33517,33691,32375,29963,32629,29793,28621,26966,26237,32152,35916,42422,42092,39430,36664,36930,37582,34662,34524
4441,Building mat. and supplies dealers,23425,21061,25871,29233,32196,29265,29938,28915,26662,28697,26220,24990,23709,23025,27984,30023,35986,36397,34870,32612,32647,33018,30633,30123
44412,Paint and wallpaper stores,912,860,1029,982,1192,1174,1248,1257,1149,1162,940,829,928,920,1085,947,1092,1240,1271,1216,1225,1208,1012,945
44413,Hardware stores,2083,1910,2340,2517,2821,2579,2524,2525,2317,2549,2335,2337,2059,1954,2372,2839,3495,3350,3028,2891,2760,2763,2553,2795
445,Food and beverage stores,62829,56898,63504,62402,66510,64479,66428,66937,62420,64849,66363,70028,64567,61962,80990,71064,76438,71799,75085,72353,69741,71957,71879,77260
4451,Grocery stores,57184,51284,57216,56053,59656,57791,59460,59954,56083,58172,59224,60938,58722,55870,73901,64383,68436,63973,66892,64500,62100,64017,63920,67027
44511,Supermarkets and other grocery (except convenience) stores,54876,49031,54609,53382,56715,54902,56476,56957,53251,55304,56499,58214,56141,53306,71296,62127,65735,61229,63980,61571,59353,61259,61341,64236
4453,"Beer, wine, and liquor stores",3933,3916,4445,4358,4861,4769,4993,5017,4454,4676,5057,6326,4188,4318,5249,4938,5950,5780,6106,5813,5582,5766,5796,7366
